SKU,Brand,Description,Qty 2023-24,Category,Core/Non Core
100209010005,CAMLIN,"Camlin Exam Plastic Scale, 6 inch - 5248480","1,993.00",Office Supplies,NON CORE
100408070111,WORKSTORE,WORKSTORE  L FOLDER-FULLSCAPE  SIZE TRANSPARENTCOLOR (PACK OF 20) OR SIMILAR,"1,989.00",Office Supplies,CORE
100201020049,STANDARD,"ID Card Holder,Colour Black, Double Sided, 100 Pc/Pack","1,978.00",Office Supplies,CORE
100608010180,STANDARD,"Goodmake White Paper Envelopes, 80 Gsm,16” X 12”,25 pcs/pack","1,956.00",Office Supplies,CORE
100603010011,STANDARD,"Colour Chart Paper, Size 22"" xx 28""","1,900.00",Office Supplies,CORE
10055033,STANDARD,GOOD MAKE MASKING TISSUE TAPE 2 INCH X 15 MTR ( PACK OF 3),"1,883.00",Office Supplies,CORE
10054975,CELLO,CELLO TRI-MATE BALL PEN RED (PACK OF 5)  PACK of 1,"1,807.00",Office Supplies,CORE
10058859,GODREJ,GODREJ AER MATIC AIR FRESHENER DISPENSER WITHREFILL-SET,"1,790.00",Cleaning & Hygiene Products,CORE
100501110051,CHARNOCK,"Charnock CH15 Mop Wet cotton refill 6"" width, length 12""","1,790.00",Cleaning & Hygiene Products,CORE
100205010004,STANDARD,Plastic Damper Round Shape Size Medium,"1,780.00",Office Supplies,CORE
100502050508,PEARLPET,"Pearlpet Water Bottle Capacity 1 Ltrs,Transparent 6 Pcs/Pac","1,775.00",Pantry Supplies,CORE
100501230010,KLEENAL,"KLEENAL WINDOW SQUEEZEE GLASS 12"", KLEENALWINDOW SQZ GLASS","1,760.00",Cleaning & Hygiene Products,CORE
110101010033,KLEENAL,Kleenal HS-10 Plastic Platformm / Table Squeezee,"1,711.00",Cleaning & Hygiene Products,CORE
100806100003,LUXOR,"LUXOR 921 SIGN PEN, FINE TIP, BLUE,(PACK OF 10)","1,696.00",Office Supplies,CORE
100401010178,WORKSTORE,WORKSTORE  30065 CARDBOARD BOX FILE VOUCHERSIZE OR SIMILAR,"1,673.00",Office Supplies,CORE
100624010014,KORES,KORES MULTICOPY CARBON PAPER BLUE SIZE 210MM X 330100SHT/PK,"1,662.00",Office Supplies,CORE
10054232,STANDARD,GOOD MAKE DISPOSABLE PAPER CUP CAPACITY 110 ML (100 PC PACK)  PACK of 1,"1,619.00",Cleaning & Hygiene Products,NON CORE
10055034,STANDARD,GOOD MAKE MASKING TISSUE TAPE 3 INCH X 15 MTR ( PACK OF 2),"1,618.00",Office Supplies,NON CORE
100608010119,STANDARD,"STANDARD BROWN PAPER ENVELOPES, 70 GSM, 12"" X10"", (PACK OF 50 )","1,597.00",Office Supplies,CORE
100806100002,LUXOR,"LUXOR 921 SIGN PEN, FINE TIP, BLACK, (PACK OF 10 )","1,595.00",Office Supplies,CORE
100806080001,PILOT,"801 Pilot Hi-Tecpoint 05 Microo Tip Pen, 0.5 MM, Blue","1,592.00",Office Supplies,CORE
100101050030,ODDY,Oddy/Prime Flip chart calender type white (Roll of25 sheets),"1,579.00",Office Supplies,CORE
100501070021,STANDARD,"Duster Cloth Glass 20"" X20"" (Green)","1,569.00",Cleaning & Hygiene Products,CORE
100202050048,STANDARD,STANDARD RUBBER BAND 45GMS ASSORTED SIZES,"1,562.00",Office Supplies,CORE
100501190098,STANDARD,Plastic Spray Gun Trigger,"1,547.00",Cleaning & Hygiene Products,CORE
100501110001,GALA,Mop Wet Set Gala 240 Clip `N' Fit Cotton Mop,"1,481.00",Cleaning & Hygiene Products,CORE
100501210004,GALA,Brush Toilet Round Gala 311,"1,475.00",Cleaning & Hygiene Products,CORE
100626010019,STANDARD,Lamination Pouch 80 Micron A3 100Pcs/Pack,"1,464.00",Office Supplies,CORE
10045690,3M,3M Scotch Brite Two-in-One Scrrub Sponge (Pack of 2),"1,451.00",Cleaning & Hygiene Products,CORE
100608010092,STANDARD,STANDARD BROWN PAPER ENVELOPES 80 GSM 9.5 X 4.5 (PACK OF 50),"1,448.00",Office Supplies,CORE
100202030031,STANDARD,Bright Silvery High Plated Paper Pins 50 gms/Pack,"1,443.00",Office Supplies,CORE
10059427,HIT,HIT  INSECTICIDE SPRAY CAN HIT 400ML BLACK FOR MOSQUITOES,"1,435.00",Cleaning & Hygiene Products,CORE
10049648,GOOD KNIGHT,Mosquito Liquid Refill-45 Nights,"1,418.00",Cleaning & Hygiene Products,CORE
10054131,STANDARD,STANDARD DYNA MUG,"1,408.00",Cleaning & Hygiene Products,CORE
100208010002,KANGARO,"Kangaro DP-480 Paper Punch, Caapacity 12 Sheets, Dia. 5.50 M","1,390.00",Office Supplies,CORE
100302050044,OMAX,Omax Non Magnetic White Board Duster Art No.333,"1,388.00",Office Supplies,CORE
100806090058,UNIBALL,"LINC UNIBALL UB-150 EYE ROLLER PEN, 0.5MM, BLUE","1,386.00",Office Supplies,CORE
100501210071,KLEENAL,Kleenal K-139 Round Cob Web Brush for Ceilings,"1,356.00",Cleaning & Hygiene Products,CORE
100501060001,STANDARD,PLASTIC DUST PAN,"1,342.00",Cleaning & Hygiene Products,CORE
200501040009,STANDARD,STANDARD MOUSE PAD,"1,339.00",Office Supplies,CORE
100502030021,STANDARD,"Paper Plates, Dia 8"", 100 Pc //Pack , Silver Plated Round","1,325.00",Pantry Supplies,CORE
100214030002,3M,"3M Scotch Magic Tape, 810, 19  mm x 33 mtrs Roll","1,282.00",Office Supplies,CORE
100608010108,STANDARD,"STANDARD WHITE PAPER ENVELOPES, 80 GSM,, 12"" X 10""(PACK OF 50 )","1,252.00",Office Supplies,CORE
100806090063,UNIBALL,"UB-150 Uniball Eye Roller Pen, 0.5 MM, Black","1,249.00",Office Supplies,CORE
100405010037,STANDARD,CARDBOARD FILE DIVIDER SIZE 1/8 ASSORTED COLOR ( PACK OF 100) OR SIMILAR,"1,246.00",Office Supplies,CORE
100402010167,STANDARD,STANDARD BUSINESS CARD HOLDER SF30029 480 CARDS BLUE COLOR FILE,"1,237.00",Office Supplies,CORE
10059428,HIT,HIT  INSECTICIDE SPRAY CAN HIT 400ML RED FOR  COCKROACHES,"1,228.00",Cleaning & Hygiene Products,CORE
100503020029,KIMBERLY CLARK,Facial Tissue Box KC 1033 21cmx21cm 100Sheets/Box Kleenex,"1,221.00",Cleaning & Hygiene Products,CORE
10054984,WORKSTORE,"WORKSTORE GENERIC GREEN CLOTHLINED ENVELOPE SIZE 12""X16""(PACK OF 100 PC)  PACK of 1","1,180.00",Office Supplies,CORE
10055436,STANDARD,GOOD MAKE NITRILE GLOVES (PACK OF 100 PCS),"1,174.00",Cleaning & Hygiene Products,CORE
10051832,SOLO,SOLO CH 101 CLEAR FOLDER A4 (PACK OF 10),"1,165.00",Office Supplies,CORE
100402010166,STANDARD,Business Card Holder SF30028 240 Cards Assorted Color File,"1,165.00",Office Supplies,CORE
100202010149,WORKSTORE,Workstore ST 5155 BINDER CLIP 51MM,"1,156.00",Office Supplies,CORE
10059143,DURACELL,"DURACELL CHOTA POWER AA (LR03) 1.5V, 10 PC/PACK","1,155.00",Office Supplies,CORE
100503060089,C&W,"Toilet Rolls 150gms, 10x11cms,, 35gsm, 2 Ply, 20 Rolls Pack","1,152.00",Cleaning & Hygiene Products,CORE
100501210044,STANDARD,Toilet Brush Wc Round Shape Nylon Bristles,"1,144.00",Cleaning & Hygiene Products,CORE
100506010009,STANDARD,Bottle Cleaning Brush (Big Bottle),"1,122.00",Cleaning & Hygiene Products,CORE
10056762,DOMEX,DOMEX  FLOOR CLEANER 5 LITRE  CAN - 1,"1,060.00",Cleaning & Hygiene Products,CORE
100616010001,3M,3M Post-It Prompts 1 x 3; 3Colours; 150 Prompts/Pack,"1,015.00",Office Supplies,CORE
10061887,JK,JK ECORISE 75 GSM PAPER SIZE A/4 (500 SHEETS PER REAM),"1,010.00",Office Supplies,NON CORE
10059142,DURACELL,"DURACELL CHOTA POWER AAA (LR03) 1.5V, 10 PC/PACK","1,003.00",Office Supplies,CORE
100804020001,CAMLIN,Camlin /Flair  Mechanical  Pencil 0.5MM -6805132,"1,002.00",Office Supplies,CORE
10049588,C&W,Ultra Care Liquid Handwash Musky Melon 5 Litre Can,990,Cleaning & Hygiene Products,CORE
100623070126,STANDARD,"STANDARD 4 QUIRE OUTWARD REGISTER, FULL SIZE",981,Office Supplies,CORE
100501210033,STANDARD,"Brush Cleaning Keyboard, Bristles 1"" Width Computer Cleanin",967,Cleaning & Hygiene Products,CORE
10056577,BUZIL,BUZIL SANPRO HAND SANITIZER LIQUID 5 LTR CAN / SINGLE,959,Cleaning & Hygiene Products,NON CORE
100801010181,CAMLIN,Camlin All Clear Eraser Box Of 20Pcs - 5247484,935,Office Supplies,CORE
10049275,ARTLINE,Artline EK500 White Board Green Marker(Pack of 10),934,Office Supplies,NON CORE
10049274,ARTLINE,Artline EK500 White Board Red Marker(Pack of 10),926,Office Supplies,NON CORE
10054982,WORKSTORE,"WORKSTORE GENERIC GREEN CLOTHLINED ENVELOPE SIZE 12""X10""(PACK OF 100 PC)  PACK of 1",922,Office Supplies,CORE
100616030088,3M,3M Post-it Cube 3x3x50 Sheet 4 Color-200 Sheets,912,Office Supplies,CORE
10059928,GOOD KNIGHT,GOOD KNIGHT  MACHINE + REFILL COMBO PACK,899,Cleaning & Hygiene Products,CORE
100612020027,NOVAJET,"Novajet,Photo Glossy Paper,2400Gsm,A4 Size,20Sheets/Pack",880,Office Supplies,CORE
100501040006,WHEEL,"Wheel Detergent Powder, 1 Kg / Pack",875,Cleaning & Hygiene Products,CORE
100623070125,STANDARD,"STANDARD 4 QUIRE INWARD REGISTER, FULL SIZE",849,Office Supplies,CORE
100501190019,GALA,GALA 966 C.DOUBLE HOCKEY; 1 PC,818,Cleaning & Hygiene Products,CORE
10049984,REYNOLDS,Reynolds 045 Fine Carbure Ball Pen Black 10 Pcs/Pack,804,Office Supplies,CORE
100506110012,KLEENAL,"M-250 Clip Bracket Assy 6"" With Handle",797,Cleaning & Hygiene Products,CORE
100208010012,KANGARO,"Kangaro DP-600 Paper Punch, Capacity 22 Sheets, Dia. 5.50 M",786,Office Supplies,CORE
10056673,STANDARD,GOOD MAKE NITRILE GLOVES (PACK OF 100) SIZE-MEDIUM  PACK of 1,770,Cleaning & Hygiene Products,NON CORE
10057782,ODONIL,ODONIL ROOM FRESHENER  ROSE GARDEN 220 ML,769,Cleaning & Hygiene Products,NON CORE
100501220011,STANDARD,"Scrubbing Pad, Nylon Scrubber, Round",766,Cleaning & Hygiene Products,CORE
100605010163,JK,"JK Cedar Paper, 100 GSM, A4, WWhite, 500 Sheets/Ream",760,Office Supplies,NON CORE
100605010220,BINDAL,Bindal Copier Paper A3 Size 75 GSM 500 Sheets,740,Office Supplies,CORE
10049273,ARTLINE,Artline EK500 White Board Blue Marker(Pack of 10),731,Office Supplies,NON CORE
10046910,STANDARD,Correction Tape Music 555,722,Office Supplies,CORE
100501210037,STANDARD,"Brush Street Road W/Nylon Bristles 12"" Width & 5Ft Ms Handl",714,Cleaning & Hygiene Products,CORE
110101010010,KLEENAL,Kleenal MC-300P Wet Round Mop  Refill Red,709,Cleaning & Hygiene Products,CORE
100501220004,STANDARD,"Scrubbing Pad, Nylon Scrubber, Round, 12 Pcs/Pack",708,Cleaning & Hygiene Products,CORE
100803010103,CAMLIN,"Camlin Hi-Lighter Marker Pen, Orange - 7287135",680,Office Supplies,CORE
100803010105,CAMLIN,"Camlin Hi-Lighter Marker Pen, Green - 7287133",664,Office Supplies,CORE
100806010068,LINC,LINC GLYCER BALL PEN; 0.6 MM; BLACK; (Pack Of 5 ),664,Office Supplies,CORE
100214050001,3M,"3M Scotch Magic Tape Dispenser, Tape Width 19 MM x 33 MTRS",662,Office Supplies,CORE
100212040015,KANGARO,"Kangaro M-10 Stapler, Capacity 10 Sheets, No 10 Staple",657,Office Supplies,CORE
100501210001,KLEENAL,"Brush Flr Scrbbng 18"" x 3"" Nyllon Bristles With 5Ft MS Handl",656,Cleaning & Hygiene Products,CORE
10049272,ARTLINE,Artline EK500 White Board Black Marker(Pack of 10),647,Office Supplies,NON CORE
100205070013,OMEGA,OMEGA /OMAX PINS & CLIP DISPENSER STAND,647,Office Supplies,CORE
100501230001,KLEENAL,"Floor Squeezee 12"" Rubber Withh 4Ft MS Powder Coated Handle",643,Cleaning & Hygiene Products,CORE
